Location Code,SKU,Name Of the Product,Category,Sub Category,Description,Short_Description,Weight/Quantity (KG/ML/Unit),Price (Inclusive of Tax),Special_Price,Discount %,Inventory,Date,PlanoLoc,For You,Priority
1307,100037698,Aashirvaad Superior MP Wheat Atta 1 Kg,"Flours, Salt & Sugar",Flours,Aashirvaad Superior MP Wheat Atta 1 Kg,Aashirvaad Superior MP Wheat Atta 1 Kg,EA,57,57,0,50,20/01/21,G02/6_1E,FALSE,0
1307,100041470,Selecta Premium Rawa 500 G,"Flours, Salt & Sugar",Flours,Selecta Premium Rawa 500 G,Selecta Premium Rawa 500 G,EA,44,35,20.45,5,20/01/21,G02/3_1 ,FALSE,0
1307,100043106,Parth Jaggery 950 Gm,"Flours, Salt & Sugar",Salt and Sugar,Parth Jaggery 950 Gm,Parth Jaggery 950 Gm,EA,80,77,3.75,11,20/01/21,G07/1_3E,FALSE,0
1307,100043635,Parth Jaggery 450 Gm,"Flours, Salt & Sugar",Salt and Sugar,Parth Jaggery 450 Gm,Parth Jaggery 450 Gm,EA,42,42,0,6,20/01/21,G07/2_3E,FALSE,0
1307,100043656,Selecta Premium Rawa 1 Kg,"Flours, Salt & Sugar",Flours,Selecta Premium Rawa 1 Kg,Selecta Premium Rawa 1 Kg,EA,76,62,18.42,8,20/01/21,G03/3_4E,FALSE,0
1307,100050576,Sprinkle Crystal Salt 1 Kg,"Flours, Salt & Sugar",Salt and Sugar,Sprinkle Crystal Salt 1 Kg,Sprinkle Crystal Salt 1 Kg,EA,15,12,20,9,20/01/21,G08/5_3 ,FALSE,0
1307,100054322,Aashirvaad Atta With Multigrains 1 Kg,"Flours, Salt & Sugar",Flours,Aashirvaad Atta With Multigrains 1 Kg,Aashirvaad Atta With Multigrains 1 Kg,EA,64,64,0,19,20/01/21,G01/5_2E,FALSE,0
1307,100054322,Aashirvaad Atta With Multigrains 5 Kg.,"Flours, Salt & Sugar",Flours,Aashirvaad Atta With Multigrains 5 Kg.,Aashirvaad Atta With Multigrains 5 Kg.,EA,310,290,6.45,27,20/01/21,G02/7B_1E,FALSE,0
1307,100054322,Aashirvaad Superior MP Wheat Atta 5 Kg,"Flours, Salt & Sugar",Flours,Aashirvaad Superior MP Wheat Atta 5 Kg,Aashirvaad Superior MP Wheat Atta 5 Kg,EA,270,221,18.15,13,20/01/21,/,FALSE,0
1307,100054324,Aashirvaad Superior MP Wheat Atta 10 Kg,"Flours, Salt & Sugar",Flours,Aashirvaad Superior MP Wheat Atta 10 Kg,Aashirvaad Superior MP Wheat Atta 10 Kg,EA,490,417,14.9,6,20/01/21,/,FALSE,0
1307,100060764,Catch Table Salt 100 Gm Sprinkler.,"Flours, Salt & Sugar",Salt and Sugar,Catch Table Salt 100 Gm Sprinkler.,Catch Table Salt 100 Gm Sprinkler.,EA,23,23,0,20,20/01/21,G08/1_1 ,FALSE,0
1307,100062131,Aashirvaad Sharbati Select Atta 1 Kg,"Flours, Salt & Sugar",Flours,Aashirvaad Sharbati Select Atta 1 Kg,Aashirvaad Sharbati Select Atta 1 Kg,EA,62,62,0,13,20/01/21,G03/6_2E,FALSE,0
1307,100064526,more. Selecta Low Sodium Salt 1 Kg,"Flours, Salt & Sugar",Salt and Sugar,more. Selecta Low Sodium Salt 1 Kg,more. Selecta Low Sodium Salt 1 Kg,EA,35,30,14.29,10,20/01/21,G08/4_1 ,FALSE,0
1307,100066264,More Choice Ragi Flour 1 kg,"Flours, Salt & Sugar",Flours,More Choice Ragi Flour 1 kg,More Choice Ragi Flour 1 kg,EA,80,68,15,3,20/01/21,G02/1_6 ,FALSE,0
1307,100077912,More Choice Bombay Sooji 1 kg,"Flours, Salt & Sugar",Flours,More Choice Bombay Sooji 1 kg,More Choice Bombay Sooji 1 kg,EA,86,71,17.44,23,20/01/21,G03/3_2 ,FALSE,0
1307,100078037,Selecta Premium Maida 500 G.,"Flours, Salt & Sugar",Flours,Selecta Premium Maida 500 G.,Selecta Premium Maida 500 G.,EA,39,33,15.38,43,20/01/21,G02/2_1 ,FALSE,0
1307,100078042,More Choice Bombay Rawa 1 Kg,"Flours, Salt & Sugar",Flours,More Choice Bombay Rawa 1 Kg,More Choice Bombay Rawa 1 Kg,EA,120,66,45,4,20/01/21,G02/4_6E,FALSE,0
1307,100078044,More Choice Idly Rawa 500 g.,"Flours, Salt & Sugar",Flours,More Choice Idly Rawa 500 g.,More Choice Idly Rawa 500 g.,EA,33,27,18.18,139,20/01/21,G03/4_1 ,FALSE,0
1307,100078048,More Choice Idly Rawa 2 kg,"Flours, Salt & Sugar",Flours,More Choice Idly Rawa 2 kg,More Choice Idly Rawa 2 kg,EA,134,96,28.36,11,20/01/21,G03/4_3 ,FALSE,0
1307,100078050,More Choice Wheat Rawa Small 500 g,"Flours, Salt & Sugar",Flours,More Choice Wheat Rawa Small 500 g,More Choice Wheat Rawa Small 500 g,EA,42,35,16.67,0,20/01/21,G02/3_2 ,FALSE,0
1307,100078052,More Choice Wheat Rawa Small 1 kg,"Flours, Salt & Sugar",Flours,More Choice Wheat Rawa Small 1 kg,More Choice Wheat Rawa Small 1 kg,EA,82,66,19.51,0,20/01/21,G02/4_2 ,FALSE,0
1307,100078054,More Choice Wheat Rawa Medium 500 g,"Flours, Salt & Sugar",Flours,More Choice Wheat Rawa Medium 500 g,More Choice Wheat Rawa Medium 500 g,EA,110,34,69.09,9,20/01/21,G02/3_3 ,FALSE,0
1307,100078058,More Choice Wheat Rawa 1 kg,"Flours, Salt & Sugar",Flours,More Choice Wheat Rawa 1 kg,More Choice Wheat Rawa 1 kg,EA,80,66,17.5,3,20/01/21,G02/4_4 ,FALSE,0
1307,100078063,Jaggery Cube 500G,"Flours, Salt & Sugar",Salt and Sugar,Jaggery Cube 500G,Jaggery Cube 500G,EA,45,45,0,10,20/01/21,G07/3_2 ,FALSE,0
1307,100078392,More Choice Rice Rawa 500 gm,"Flours, Salt & Sugar",Flours,More Choice Rice Rawa 500 gm,More Choice Rice Rawa 500 gm,EA,38,31,18.42,6,20/01/21,G02/3_5 ,FALSE,0
1307,100078398,Jaggery Special 900 Gm,"Flours, Salt & Sugar",Salt and Sugar,Jaggery Special 900 Gm,Jaggery Special 900 Gm,EA,80,80,0,11,20/01/21,G07/3_3 ,FALSE,0
1307,100078400,Jaggery Special 450 Gm,"Flours, Salt & Sugar",Salt and Sugar,Jaggery Special 450 Gm,Jaggery Special 450 Gm,EA,44,44,0,34,20/01/21,G07/3_1 ,FALSE,0
1307,100083464,more. Daily Sugar 1 Kg,"Flours, Salt & Sugar",Salt and Sugar,more. Daily Sugar 1 Kg,more. Daily Sugar 1 Kg,EA,52,44,15.38,144,20/01/21,G07/7B_1 ,FALSE,0
1307,100083608,more. Daily Sugar 2 Kg,"Flours, Salt & Sugar",Salt and Sugar,more. Daily Sugar 2 Kg,more. Daily Sugar 2 Kg,EA,101,88,12.87,44,20/01/21,G07/7B_2E,FALSE,0
1307,100083675,more. Daily Sugar 5 Kg,"Flours, Salt & Sugar",Salt and Sugar,more. Daily Sugar 5 Kg,more. Daily Sugar 5 Kg,EA,250,212,15.2,14,20/01/21,G08/7B_1E,FALSE,0
1307,100085996,more. Choice Iodised Salt 1 Kg,"Flours, Salt & Sugar",Salt and Sugar,more. Choice Iodised Salt 1 Kg,more. Choice Iodised Salt 1 Kg,EA,19,12,36.84,65,20/01/21,G08/3_1 ,FALSE,0
1307,100089907,More Choice Idly Rawa 1 kg.,"Flours, Salt & Sugar",Flours,More Choice Idly Rawa 1 kg.,More Choice Idly Rawa 1 kg.,EA,62,51,17.74,24,20/01/21,G03/4_2 ,FALSE,0
1307,100089916,More Choice Besan 200 g,"Flours, Salt & Sugar",Flours,More Choice Besan 200 g,More Choice Besan 200 g,EA,27,27,0,8,20/01/21,G03/1_3 ,FALSE,0
1307,100095588,Selecta Premium Besan 500 G.,"Flours, Salt & Sugar",Flours,Selecta Premium Besan 500 G.,Selecta Premium Besan 500 G.,EA,62,51,17.74,12,20/01/21,G03/2_1 ,FALSE,0
1307,100095975,Selecta Premium Sooji 1 Kg.,"Flours, Salt & Sugar",Flours,Selecta Premium Sooji 1 Kg.,Selecta Premium Sooji 1 Kg.,EA,87,82,5.75,0,20/01/21,G03/3_1 ,FALSE,0
1307,100099811,Selecta Premium Besan 1 Kg,"Flours, Salt & Sugar",Flours,Selecta Premium Besan 1 Kg,Selecta Premium Besan 1 Kg,EA,113,113,0,13,20/01/21,G03/2_2 ,FALSE,0
1307,100132991,more. Sugar Loose,"Flours, Salt & Sugar",Salt and Sugar,more. Sugar Loose,more. Sugar Loose,KG,38,38,0,314,20/01/21,/,FALSE,0
1307,100143010,Vittle Foods Maida 500 gm,"Flours, Salt & Sugar",Flours,Vittle Foods Maida 500 gm,Vittle Foods Maida 500 gm,EA,25,22,12,1,20/01/21,G02/2_3 ,FALSE,0
1307,100143012,Vittle Foods Chana Besan 500 gm,"Flours, Salt & Sugar",Flours,Vittle Foods Chana Besan 500 gm,Vittle Foods Chana Besan 500 gm,EA,80,68,15,0,20/01/21,G03/2_3 ,FALSE,0
1307,100227450,Vittle Foods Ragi Flour 500 Gm,"Flours, Salt & Sugar",Flours,Vittle Foods Ragi Flour 500 Gm,Vittle Foods Ragi Flour 500 Gm,EA,30,26,13.33,1,20/01/21,G02/1_7E,FALSE,0
1307,100230577,MILTOP JAGGERY POWDER 500 gm,"Flours, Salt & Sugar",Salt and Sugar,MILTOP JAGGERY POWDER 500 gm,MILTOP JAGGERY POWDER 500 gm,EA,105,105,0,1,20/01/21,G07/3_6 ,FALSE,0
1307,100230579,Miltop Jaggery Cube 400 gm,"Flours, Salt & Sugar",Salt and Sugar,Miltop Jaggery Cube 400 gm,Miltop Jaggery Cube 400 gm,EA,65,65,0,4,20/01/21,G07/3_4 ,FALSE,0
1307,100273172,Miltop Natural Jaggery 875 gm.,"Flours, Salt & Sugar",Salt and Sugar,Miltop Natural Jaggery 875 gm.,Miltop Natural Jaggery 875 gm.,EA,105,105,0,5,20/01/21,G07/3_5 ,FALSE,0
1307,100411804,Vittle Bansi Rawa 500 gm,"Flours, Salt & Sugar",Flours,Vittle Bansi Rawa 500 gm,Vittle Bansi Rawa 500 gm,EA,33,29,12.12,41,20/01/21,G02/3_6E,FALSE,0
1307,100412088,More. Choice Gram Flour Besan 500 gm,"Flours, Salt & Sugar",Flours,More. Choice Gram Flour Besan 500 gm,More. Choice Gram Flour Besan 500 gm,EA,51,42,17.65,9,20/01/21,G03/1_4 ,FALSE,0
1307,100005444,Brown Rice Loose.,"Rice, Dals and Pulses",Cereals,Brown Rice Loose.,Brown Rice Loose.,KG,1750,1750,0,72,20/01/21,/,FALSE,0
1307,100007428,more. Superior Hmt Kolam Rice Loose.,"Rice, Dals and Pulses",Cereals,more. Superior Hmt Kolam Rice Loose.,more. Superior Hmt Kolam Rice Loose.,KG,47,47,0,200,20/01/21,/,FALSE,0
1307,100007438,more. Urad Whole White Loose.,"Rice, Dals and Pulses",Pulses,more. Urad Whole White Loose.,more. Urad Whole White Loose.,KG,108,108,0,78,20/01/21,/,FALSE,0
1307,100013380,more. Moong Dal Dhuli Loose,"Rice, Dals and Pulses",Pulses,more. Moong Dal Dhuli Loose,more. Moong Dal Dhuli Loose,KG,122,122,0,57,20/01/21,/,FALSE,0
1307,100019037,Whole Grain Basmati Rice loose,"Rice, Dals and Pulses",Cereals,Whole Grain Basmati Rice loose,Whole Grain Basmati Rice loose,KG,78,78,0,99,20/01/21,/,FALSE,0
1307,100053287,more. Raw Peanut Loose.,"Rice, Dals and Pulses",Pulses,more. Raw Peanut Loose.,more. Raw Peanut Loose.,KG,139,139,0,53,20/01/21,/,FALSE,0
1307,100053292,Poha Kanda loose,"Rice, Dals and Pulses",Cereals,Poha Kanda loose,Poha Kanda loose,KG,48,48,0,40,20/01/21,/,FALSE,0
1307,100054805,more. Choice Roasted Bengal Gram Dal 200 Gm,"Rice, Dals and Pulses",Pulses,more. Choice Roasted Bengal Gram Dal 200 Gm,more. Choice Roasted Bengal Gram Dal 200 Gm,EA,42,33,21.43,12,20/01/21,W08/5_2 ,FALSE,0
1307,100054816,more. Choice Roasted Bengal Gram Dal 500 Gm,"Rice, Dals and Pulses",Pulses,more. Choice Roasted Bengal Gram Dal 500 Gm,more. Choice Roasted Bengal Gram Dal 500 Gm,EA,100,78,22,30,20/01/21,W08/5_1 ,FALSE,0
1307,100057121,more. Choice Raw Peanut 500 Gm,"Rice, Dals and Pulses",Pulses,more. Choice Raw Peanut 500 Gm,more. Choice Raw Peanut 500 Gm,EA,103,86,16.5,5,20/01/21,W07/4_2 ,FALSE,0
1307,100058762,Daawat Pulav Basmati Rice 1 Kg,"Rice, Dals and Pulses",Cereals,Daawat Pulav Basmati Rice 1 Kg,Daawat Pulav Basmati Rice 1 Kg,EA,120,99,17.5,20,20/01/21,W06/1_2 ,FALSE,0
1307,100068571,Charminar Basmati Rice 1 Kg,"Rice, Dals and Pulses",Cereals,Charminar Basmati Rice 1 Kg,Charminar Basmati Rice 1 Kg,EA,115,85,26.09,10,20/01/21,W06/3_3 ,FALSE,0
1307,100077321,India Gate Super Basmati Rice 1 kg+ 500 gm,"Rice, Dals and Pulses",Cereals,India Gate Super Basmati Rice 1 kg+ 500 gm,India Gate Super Basmati Rice 1 kg+ 500 gm,EA,190,169,11.05,3,20/01/21,W06/2_3 ,FALSE,0
1307,100077718,Daawat Devaaya Basmati Rice 1 Kg,"Rice, Dals and Pulses",Cereals,Daawat Devaaya Basmati Rice 1 Kg,Daawat Devaaya Basmati Rice 1 Kg,EA,110,76,30.91,11,20/01/21,W06/1_4 ,FALSE,0
1307,100078001,more. Choice Soyabean 500 Gm,"Rice, Dals and Pulses",Pulses,more. Choice Soyabean 500 Gm,more. Choice Soyabean 500 Gm,EA,73,59,19.18,20,20/01/21,W08/7B_4 ,FALSE,0
1307,100078032,Daawat Gold Rozana Basmati Rice 1 Kg,"Rice, Dals and Pulses",Cereals,Daawat Gold Rozana Basmati Rice 1 Kg,Daawat Gold Rozana Basmati Rice 1 Kg,EA,99,69,30.3,53,20/01/21,W06/1_5E,FALSE,0
1307,100078061,more. Choice Sago Nylon 200 Gm.,"Rice, Dals and Pulses",Cereals,more. Choice Sago Nylon 200 Gm.,more. Choice Sago Nylon 200 Gm.,EA,43,20,53.49,1,20/01/21,W04/5_4E,FALSE,0
1307,100078099,more. Choice Barley 100 Gm,"Rice, Dals and Pulses",Cereals,more. Choice Barley 100 Gm,more. Choice Barley 100 Gm,EA,16,10,37.5,300,20/01/21,W04/1_6 ,FALSE,0
1307,100078500,Daawat Super Basmati Rice 1.25 kg.,"Rice, Dals and Pulses",Cereals,Daawat Super Basmati Rice 1.25 kg.,Daawat Super Basmati Rice 1.25 kg.,EA,170,135,20.59,1,20/01/21,W06/1_1 ,FALSE,0
1307,100078543,Bell Sona Sortex Rice 25 Kg.,"Rice, Dals and Pulses",Cereals,Bell Sona Sortex Rice 25 Kg.,Bell Sona Sortex Rice 25 Kg.,EA,1600,1309,18.19,20,20/01/21,/,FALSE,0
1307,100081106,more. Value Roasted Bengal Gram Dal Loose,"Rice, Dals and Pulses",Pulses,more. Value Roasted Bengal Gram Dal Loose,more. Value Roasted Bengal Gram Dal Loose,KG,101,101,0,50,20/01/21,/,FALSE,0
1307,100085217,more. Superior Sona masoori Raw Rice loose,"Rice, Dals and Pulses",Cereals,more. Superior Sona masoori Raw Rice loose,more. Superior Sona masoori Raw Rice loose,KG,55,55,0,0,20/01/21,/,FALSE,0
1307,100085246,more. Value Sona Masoori Rice Loose.,"Rice, Dals and Pulses",Cereals,more. Value Sona Masoori Rice Loose.,more. Value Sona Masoori Rice Loose.,KG,41,41,0,64,20/01/21,/,FALSE,0
1307,100085258,Wheat lokwan Loose,"Rice, Dals and Pulses",Cereals,Wheat lokwan Loose,Wheat lokwan Loose,KG,1125,1125,0,128,20/01/21,/,FALSE,0
1307,100085911,India Gate Classic Basmati Rice 1 Kg,"Rice, Dals and Pulses",Cereals,India Gate Classic Basmati Rice 1 Kg,India Gate Classic Basmati Rice 1 Kg,EA,210,189,10,13,20/01/21,W06/2_6E,FALSE,0
1307,100086083,India Gate Dubar Basmati Rice 1 Kg,"Rice, Dals and Pulses",Cereals,India Gate Dubar Basmati Rice 1 Kg,India Gate Dubar Basmati Rice 1 Kg,EA,115,99,13.91,14,20/01/21,W06/2_5 ,FALSE,0
1307,100086340,Daawat Gold Rozana Basmati Rice 5 kg.,"Rice, Dals and Pulses",Cereals,Daawat Gold Rozana Basmati Rice 5 kg.,Daawat Gold Rozana Basmati Rice 5 kg.,EA,445,445,0,23,20/01/21,W06/5_1 ,FALSE,0
1307,100089855,more. Choice Sago Medium 200 Gm,"Rice, Dals and Pulses",Cereals,more. Choice Sago Medium 200 Gm,more. Choice Sago Medium 200 Gm,EA,25,20,20,36,20/01/21,W04/5_2 ,FALSE,0
1307,100089857,more. Choice Sago Medium 500 Gm,"Rice, Dals and Pulses",Cereals,more. Choice Sago Medium 500 Gm,more. Choice Sago Medium 500 Gm,EA,59,40,32.2,23,20/01/21,W04/5_1 ,FALSE,0
1307,100093996,more. Choice Raw Peanut 1 Kg,"Rice, Dals and Pulses",Pulses,more. Choice Raw Peanut 1 Kg,more. Choice Raw Peanut 1 Kg,EA,202,168,16.83,8,20/01/21,W07/4_1 ,FALSE,0
1307,100096003,more. Selecta Tur Dal 1 Kg.,"Rice, Dals and Pulses",Pulses,more. Selecta Tur Dal 1 Kg.,more. Selecta Tur Dal 1 Kg.,EA,235,178,24.26,3,20/01/21,W07/1_2 ,FALSE,0
1307,100113270,India Gate Feast Rozana 1 Kg,"Rice, Dals and Pulses",Cereals,India Gate Feast Rozana 1 Kg,India Gate Feast Rozana 1 Kg,EA,89,78,12.36,3,20/01/21,W06/2_4 ,FALSE,0
1307,100114629,more. Selecta Chana Dal 1 Kg,"Rice, Dals and Pulses",Pulses,more. Selecta Chana Dal 1 Kg,more. Selecta Chana Dal 1 Kg,EA,129,129,0,7,20/01/21,W08/2_1 ,FALSE,0
1307,100126021,Premium Sona Masoori Rice 25 Kg,"Rice, Dals and Pulses",Cereals,Premium Sona Masoori Rice 25 Kg,Premium Sona Masoori Rice 25 Kg,EA,1600,999,37.56,84,20/01/21,/,FALSE,0
1307,100129228,Daawat Brown Rice 1 kg,"Rice, Dals and Pulses",Cereals,Daawat Brown Rice 1 kg,Daawat Brown Rice 1 kg,EA,165,139,15.76,64,20/01/21,W05/2_4 ,FALSE,0
1307,100133038,Tur Dal Loose,"Rice, Dals and Pulses",Pulses,Tur Dal Loose,Tur Dal Loose,KG,102,102,0,49,20/01/21,/,FALSE,0
1307,100144478,India Gate Rozana 5 kg,"Rice, Dals and Pulses",Cereals,India Gate Rozana 5 kg,India Gate Rozana 5 kg,EA,449,349,22.27,20,20/01/21,W06/6B_1E,FALSE,0
1307,100148303,Elina Long Grain Rice 1 kg.,"Rice, Dals and Pulses",Cereals,Elina Long Grain Rice 1 kg.,Elina Long Grain Rice 1 kg.,EA,160,43,73.13,28,20/01/21,W06/3_2 ,FALSE,0
1307,100154056,India Gate Brown Rice 1 kg,"Rice, Dals and Pulses",Cereals,India Gate Brown Rice 1 kg,India Gate Brown Rice 1 kg,EA,137,129,5.84,30,20/01/21,W05/2_3 ,FALSE,0
1307,100157268,more. Selecta Urad Whole White 1 Kg,"Rice, Dals and Pulses",Pulses,more. Selecta Urad Whole White 1 Kg,more. Selecta Urad Whole White 1 Kg,EA,210,163,22.38,35,20/01/21,W07/2_2 ,FALSE,0
1307,100313630,Fortune Biryani Special Basmati Rice 1 Kg Bag,"Rice, Dals and Pulses",Cereals,Fortune Biryani Special Basmati Rice 1 Kg Bag,Fortune Biryani Special Basmati Rice 1 Kg Bag,EA,175,128,26.86,2,20/01/21,W06/4_5 ,FALSE,0
1307,100002959,Hersheys Sofit Soyamilk Chocolate 200 Ml Tetra Pack,Dairy & Frozen food,Long Life Dairy,Hersheys Sofit Soyamilk Chocolate 200 Ml Tetra Pack,Hersheys Sofit Soyamilk Chocolate 200 Ml Tetra Pack,EA,35,35,0,4,20/01/21,W29/5_8 ,FALSE,0
1307,100004174,Sumeru Green Peas 200 Gm,Dairy & Frozen food,Frozen,Sumeru Green Peas 200 Gm,Sumeru Green Peas 200 Gm,EA,55,55,0,22,20/01/21,/,FALSE,0
1307,100004279,Mc Cain Aloo Tikki 400 Gm,Dairy & Frozen food,Frozen,Mc Cain Aloo Tikki 400 Gm,Mc Cain Aloo Tikki 400 Gm,EA,105,105,0,4,20/01/21,/,FALSE,0
1307,100004286,Mc Cain Veg Nuggets 325 Gm,Dairy & Frozen food,Frozen,Mc Cain Veg Nuggets 325 Gm,Mc Cain Veg Nuggets 325 Gm,EA,129,129,0,0,20/01/21,/,FALSE,0
1307,100004522,Amul Masti Buttermilk 200 Ml Tetra Pack,Dairy & Frozen food,Long Life Dairy,Amul Masti Buttermilk 200 Ml Tetra Pack,Amul Masti Buttermilk 200 Ml Tetra Pack,EA,12,12,0,44,20/01/21,C04/5B_2E,FALSE,0
1307,100005220,Sumeru French Fries 500 Gm,Dairy & Frozen food,Frozen,Sumeru French Fries 500 Gm,Sumeru French Fries 500 Gm,EA,129,129,0,17,20/01/21,/,FALSE,0
1307,100005236,Sumeru French Fries 200 Gm,Dairy & Frozen food,Frozen,Sumeru French Fries 200 Gm,Sumeru French Fries 200 Gm,EA,50,50,0,10,20/01/21,/,FALSE,0
1307,100005272,Sumeru Golden Sweet Corn Kernels 200 Gm,Dairy & Frozen food,Frozen,Sumeru Golden Sweet Corn Kernels 200 Gm,Sumeru Golden Sweet Corn Kernels 200 Gm,EA,45,45,0,19,20/01/21,/,FALSE,0
1307,100005341,Amul Processed Cheese Chiplet Plain 200 Gm,Dairy & Frozen food,Long Life Dairy,Amul Processed Cheese Chiplet Plain 200 Gm,Amul Processed Cheese Chiplet Plain 200 Gm,EA,114,114,0,21,20/01/21,C04/1_1 ,FALSE,0
1307,100005368,Amul Shrikhand Badam Pist 500 Gm Tub,Dairy & Frozen food,Long Life Dairy,Amul Shrikhand Badam Pist 500 Gm Tub,Amul Shrikhand Badam Pist 500 Gm Tub,EA,115,115,0,6,20/01/21,C05/4_1 ,FALSE,0
1307,100005375,Amul Cheese Spread Plain 200 Gm Tub,Dairy & Frozen food,Long Life Dairy,Amul Cheese Spread Plain 200 Gm Tub,Amul Cheese Spread Plain 200 Gm Tub,EA,85,85,0,21,20/01/21,C04/3_1 ,FALSE,0
1307,100011365,Sumeru Green Peas 500 Gm,Dairy & Frozen food,Frozen,Sumeru Green Peas 500 Gm,Sumeru Green Peas 500 Gm,EA,130,130,0,27,20/01/21,/,FALSE,0
1307,100017909,Amul Butter School Pack 10 gm Pack of 10,Dairy & Frozen food,Long Life Dairy,Amul Butter School Pack 10 gm Pack of 10,Amul Butter School Pack 10 gm Pack of 10,EA,57,57,0,17,20/01/21,C03/1_2E,FALSE,0
1307,100037297,Kwality Walls Cornetto Double Chocolate 105 Ml,Dairy & Frozen food,Ice Cream and Dessert,Kwality Walls Cornetto Double Chocolate 105 Ml,Kwality Walls Cornetto Double Chocolate 105 Ml,EA,50,50,0,10,20/01/21,/,FALSE,0
1307,100055034,MTR Badam Drink 180ml,Dairy & Frozen food,Long Life Dairy,MTR Badam Drink 180ml,MTR Badam Drink 180ml,EA,50,50,0,11,20/01/21,C07/2_1 ,FALSE,0
1307,100060817,Sumeru Green Peas 1 Kg,Dairy & Frozen food,Frozen,Sumeru Green Peas 1 Kg,Sumeru Green Peas 1 Kg,EA,245,245,0,7,20/01/21,/,FALSE,0
1307,100065972,Heritage Paneer 200 Gm Pouch,Dairy & Frozen food,Short Life Dairy,Heritage Paneer 200 Gm Pouch,Heritage Paneer 200 Gm Pouch,EA,100,79,21,27,20/01/21,C06/4_2 ,FALSE,0
1307,100071105,Hersheys Sofit Soyamilk Kesar Pista 200 Ml Tetra Pack,Dairy & Frozen food,Long Life Dairy,Hersheys Sofit Soyamilk Kesar Pista 200 Ml Tetra Pack,Hersheys Sofit Soyamilk Kesar Pista 200 Ml Tetra Pack,EA,35,35,0,0,20/01/21,W29/5_9 ,FALSE,0
1307,100086943,Milky Mist Cooking Butter Unsalted 100 Gm,Dairy & Frozen food,Long Life Dairy,Milky Mist Cooking Butter Unsalted 100 Gm,Milky Mist Cooking Butter Unsalted 100 Gm,EA,58,58,0,30,20/01/21,C03/3_2 ,FALSE,0
1307,100091289,Sofit Soya Milk Vanilla 1 Lt Tetra Pk,Dairy & Frozen food,Long Life Dairy,Sofit Soya Milk Vanilla 1 Lt Tetra Pk,Sofit Soya Milk Vanilla 1 Lt Tetra Pk,EA,130,130,0,14,20/01/21,W29/5_4 ,FALSE,0
1307,100092411,Milkymist cheese slice 100gm,Dairy & Frozen food,Long Life Dairy,Milkymist cheese slice 100gm,Milkymist cheese slice 100gm,EA,70,70,0,45,20/01/21,C03/4_1 ,FALSE,0
